às-dèidh,other
asgaidh,noun
asna,noun
astar,noun
at,noun
ath,adjective
ath-aithris,verb
ath-bhreith,noun
ath-chluiche,noun
ath-cholainneadh,noun
ath-chuartachadh,noun
ath-dhealbh,noun
ath-dhèan,verb
ath-dhèanamh,noun
ath-innse,noun
ath-leasaichte,adjective
ath-nuadhachadh,noun
ath-nuadhachail,adjective
ath-obair,noun
ath-rèitich,verb
ath-riochdachadh,noun
ath-sgrìobh,verb
ath-sgrùdadh,noun
ath-thòisich,verb
athair,noun
atharrachadh gnàth-shìde,noun
atharrachadh,noun
atharraich,verb
atharraichear,noun
atharrais,noun
a’ Bhìoball,noun
a’ mhòr-shluaigh,noun
bacadh,noun
bacadh-dealain,noun
bacadh-èadhair,noun
bad,noun
badmantan,noun
bagairt,noun
bàgh,noun
bàidheil,adjective
baidhsagail,noun
bàigheil,adjective
baile,noun
baile-mòr,noun
bailead,noun
baileil,adjective
bailiùn,noun
bàillidh,noun
bailteil,adjective
bainne,noun
bainne-milis,noun
bàir,noun
baisteach,noun
balach,noun
balaist,noun
balbh,adjective
balg,noun
balg-sèididh,noun
ball,noun
ball-basgaid,noun
ball-pàrlamaid,noun
ball-sneachda,noun
balla,noun
bàn,adjective
bàn,noun
bàn-dhearg,adjective
ban-dia,noun
bana-bhuidseach,noun
banachdach,noun
banais,noun
banaltram,noun
banas-taighe,noun
banca,noun
bann,noun
bann-leathann,noun
bannas,noun
banntrach,noun
baoth,adjective
bàr ceangail,noun
bàr seòlaidh,noun
bàr,noun
bàr-beàirn,noun
bàr-inneal,noun
bàr-loidhne,noun
bàr-mearachd,noun
bàr-menu,noun
bàr-seòlaidh,noun
bara,noun
barail,noun
barantas,noun
baratòn,noun
bàrd,noun
bàrdachd,noun
baroc,noun
bàrr,noun
bàrr-deasga,noun
bàrr-suime,noun
barrachd,noun
bàs,noun
basaich,verb
bàsaich,verb
basgaid,noun
basùn,noun
bata,noun
bàta,noun
batal,noun
batan,noun
bàth,verb
bàthach,noun
bàthadh,noun
bathar,noun
beachd,noun
beachd-bharail,noun
beachdaich,verb
beadraich,verb
beag air bheag,other
beag,adjective
beag,noun
beag-fhaclair,noun
beagan,noun
beairt,noun
beairteach,adjective
bealach,noun
bean,noun
bean,preposition
beann,noun
beannachd,noun
beannaich,verb
beàrn,noun
beàrn-air-ais,noun
beartach,adjective
beatha,noun
beathach,noun
beathachadh,noun
being,noun
beinn,noun
beinn-deighe,noun
beir,verb
beirmear,noun
beò,adjective
beò-eòlas,noun
beòil,noun
beòshlaint,noun
beòshlainte,noun
beothachadh,noun
beothaichte,adjective
beothail,adjective
beothalachadh,noun
beothalaich,verb
beuc,noun
beul,noun
beul-aithris,noun
beulach,adjective
beus,noun
beus-chleaf,noun
beus-eòlas,noun
beus-loidhne,noun
bhailbh,noun
bhàna,noun
bhanadium,noun
bhascular,adjective
bheactor,noun
bheartagail,adjective
bheir,verb
bhideo,noun
bhidio,noun
bhìogan,noun
bhìoras,noun
bhith,verb
bho,preposition
bholcàno,noun
bholtaids,noun
bhòt,noun
bhràthair,noun
bi,verb
biadh,noun
bian,noun
biath,verb
biathadh,noun
biathadh-lìn,noun
bileag,noun
billean,noun
bine,noun
binn,adjective
bìoball,noun
biod,noun
biolair-uisge,noun
biorach,adjective
biosmat,noun
biot,noun
biot-mhapa,noun
birlinn,noun
bith,noun
bith,verb
bith-cheimigeachd,noun
bith-chonnadh,noun
bith-eòlach,noun
bith-eòlaiche,noun
bith-eòlas,noun
bith-iomadachd,noun
bith-lobhach,noun
bith-phrosbaig,noun
bith-theicneòlas,noun
bith-thomad,noun
bitheach,noun
bitheantas,noun
