suarach,adjective
sealladh,noun
càch,noun
dìrich,verb
lean,verb
piuthar,noun
cèilidh,verb
ullaich,verb
tarraing,verb
seas,verb
seachain,verb
ceist,noun
freagarrach,adjective
dòchas,noun
ùine,noun
geal,adjective
coltach,adjective
preas,noun
bruadar,noun
marbh,verb
furasta,adjective
feargach,adjective
pòcaid,noun
cridhe,noun
goiriola,noun
uirsgeul,noun
fiodh,noun
clàr,noun
bradan,noun
maighstir,noun
lìon,verb
cluich,verb
toll,noun
deoch,noun
mullach,noun
cù,noun
sgeulachd,noun
drochaid,noun
post,noun
aithghearr,adjective
craiceann,noun
cìs,noun
iongantach,adjective
son,noun
cinnt,noun
grinn,adjective
glèidh,verb
leum,verb
aosta,adjective
deucon,noun
inbhe,noun
ro,adjective
fiù,adverb
gràdh,noun
call,noun
fortan,noun
amharas,noun
sona,adjective
bochd,adjective
gus,preposition
òsta,noun
ceum,noun
àbhaist,noun
tionndaidh,verb
leabhar,noun
aiseag,noun
soilleir,adjective
sabhal,noun
cùirt,noun
pìos,noun
rèidio,noun
croitear,noun
tighearna,noun
bileag,noun
a-muigh,adverb
èist,verb
iongnadh,noun
bàs,noun
oir,preposition
comasach,adjective
drama,noun
sporan,noun
cidsin,noun
rùn,noun
bàillidh,noun
leòn,verb
a-màireach,adverb
mearachd,noun
coimhearsnachd,noun
caora,noun
cunnart,noun
ceangail,verb
làraidh,noun
suidheachadh,noun
ealain,noun
tarsainn,preposition
làrach,noun
brèagha,adjective
sgalag,noun
gaisgeach,noun
sad,verb
dearbh,verb
tidsear,noun
èildear,noun
aidich,verb
coma,adjective
dealachadh,noun
mionaid,noun
ìosal,adjective
ciontach,adjective
mèirleach,noun
cidhe,noun
corp,noun
coire,noun
cosg,verb
car,noun
uasal,adjective
bìoball,noun
dùin,verb
os,preposition
beachdaich,verb
slighe,noun
dòcha,noun
gunna,noun
druim,noun
ruaig,verb
leth,adjective
ceàrrachas,noun
cuan,noun
tadhail,verb
trom,adjective
thall,adverb
fiamh,noun
tuathanas,noun
duilleag,noun
beir,verb
coigreach,noun
plastaig,noun
fanaid,verb
deuchainn,noun
obraich,verb
mol,verb
prosbaig,noun
riaghaltas,noun
freagair,verb
adhbhar,noun
oifigear,noun
cearc,noun
còrr,noun
bucas,noun
ball,noun
suilbhir,adjective
leannan,noun
garaids,noun
caith,verb
aontaich,verb
peata,noun
mothachadh,noun
bonn,noun
iasgaich,verb
briseadh,noun
timcheall,adverb
ceò,noun
soitheach,noun
put,verb
sìn,verb
rannsaich,verb
uidheam,noun
càirdeach,adjective
blàth,adjective
seinn,verb
seanailear,noun
comharradh,noun
clas,noun
coltas,noun
prìomh,adjective
riaraichte,adjective
far,preposition
aithne,noun
ciallaich,verb
teaghlach,noun
lannsair,noun
sgrìobhadh,noun
toil,noun
luaidh,noun
sàmhach,adjective
fuiling,verb
caidil,verb
lobhta,noun
meall,verb
banca,noun
aonar,noun
sguir,verb
dearbh,adjective
ciall,noun
cuspair,noun
feadh,noun
dorcha,adjective
cabhag,noun
bràth,noun
gorm,adjective
earrann,noun
uaireadair,noun
seinnse,noun
dìleab,noun
geall,verb
breòite,adjective
feith,verb
trèana,noun
tinn,adjective
malairt,noun
aithreachas,noun
slàinte,noun
ged,preposition
teas,noun
tuilleadh,noun
feumail,adjective
dòrn,noun
being,noun
maor,noun
ciont,noun
peanas,noun
reamhar,adjective
smid,noun
tatù,noun
fradharc,noun
togalach,noun
bun,noun
ceartas,noun
cliabh,noun
èignich,verb
sìol,noun
nochd,verb
leannanachd,noun
snodha,noun
briogais,noun
cùmhnant,noun
comanaich,verb
ceannaiche,noun
tiota,noun
sàbh,noun
manaidsear,noun
timcheall,noun
talla,noun
àirde,noun
dèidheil,adjective
adhart,noun
lochd,noun
fàradh,noun
cadal,noun
grian,noun
dual,noun
cèaban,noun
anabarrach,adjective
daonnan,adverb
dùn,noun
broilleach,noun
cruinnich,verb
dha-rìreabh,adverb
Caimbeulach,noun
seud,noun
cuiseag,noun
stòr,noun
iomradh,noun
sguad,noun
sgaoil,verb
glas,verb
bean,preposition
mus,preposition
slaod,verb
sgùil,noun
ith,verb
bhàna,noun
gnè,noun
bleigeard,noun
cunnartach,adjective
cliathach,noun
goirtich,verb
inneal,noun
òl,verb
gàireachdainn,noun
connadh,noun
pàigheadh,noun
sgeadaich,verb
tarsainn,adverb
feusag,noun
luath,adjective
ceangailte,adjective
deiseil,adjective
cogais,noun
companach,noun
buaidh,noun
laigh,verb
cusbann,noun
nàdarrach,adjective
artaigil,noun
snàmh,verb
dìoghaltas,noun
coinneamh,noun
àraidh,adjective
litreachadh,noun
gèadh,noun
clach,noun
gige,noun
banais,noun
bàn,adjective
breug,noun
dall,adjective
lìon,noun
glan,verb
cèilidh,noun
creag,noun
siùcar,noun
cùramach,adjective
leisgeul,noun
port,noun
adhlaic,verb
toilichte,adjective
càraich,verb
mansa,noun
dubh,verb
timcheall,preposition
feudar,noun
àirneis,noun
cudromach,adjective
tàrr,verb
Gàidheal,noun
amar,noun
cladach,noun
caitheamh,noun
poidsear,noun
stòraidh,noun
fearg,noun
ìre,noun
cùrsa,noun
lios,noun
lèir,noun
todhar,noun
an-dè,adverb
buidheann,noun
leus,noun
searbhant,noun
seusan,noun
trioblaid,noun
fanaid,noun
adhlacadh,noun
sgrùdadh,noun
taing,noun
dèile,noun
òran,noun
ugh,noun
tubaist,noun
rong,noun
gàirnealaireachd,noun
leisg,adjective
oilthigh,noun
sàraich,verb
dall,noun
muineal,noun
sàs,noun
dòil,noun
aoibhneach,adjective
comain,noun
neach,noun
pàighte,adjective
caithris,noun
dealaich,verb
àraich,verb
dìol,verb
ùidh,noun
coibhneil,adjective
seanair,noun
cearcall,noun
piullachan,noun
nan,preposition
cuibhreann,noun
earrach,noun
foighidinn,noun
seotal,noun
rìoghachd,noun
òige,noun
gnàth,noun
coirce,noun
pàirt,noun
crath,verb
einnsean,noun
cus,noun
tagh,verb
cluas,noun
tràigh,noun
comas,noun
foighidneach,adjective
dàna,adjective
iodhlann,noun
mìorbhaileach,adjective
luairean,noun
atharraich,verb
imich,verb
gann,adjective
ionnsaich,verb
clòsaid,noun
sloc,noun
prìs,noun
iomadach,noun
muga,noun
caisteal,noun
gas,noun
tuathanach,noun
tarraingeach,adjective
banaltram,noun
annasach,adjective
crathadh,noun
eaglais,noun
sèithear,noun
sgreuch,verb
brag,noun
beannaich,verb
leag,verb
clò,noun
peanasachadh,noun
gòraiche,noun
nathair,noun
fàd,noun
teatha,noun
ceathrar,noun
rann,noun
pearsanta,adjective
geur,adjective
cargu,noun
sàbhailte,adjective
cuairt,noun
poileataigs,noun
teilidh,noun
clisg,verb
rioban,noun
comharraich,verb
mealladh,noun
sgrios,verb
fosgailte,adjective
sòlasach,adjective
croga,noun
bodhaig,noun
clì,adjective
thairis,adverb
aindeoin,noun
gualainn,noun
fìor,adjective
tombaca,noun
tairg,verb
tuarastal,noun
smaoin,noun
falamh,adjective
luachmhor,adjective
arbhar,noun
meas,noun
troigh,noun
Spàinn,noun
onair,noun
sòlas,noun
meadhanach,adjective
biorach,adjective
rèir,noun
dath,noun
faiceallach,adjective
nì,noun
ceòthach,adjective
tapaidh,adjective
ma-thà,adverb
dearbhadh,noun
ainneamh,adjective
coireach,adjective
rannsachadh,noun
miotag,noun
clobhd,noun
bàth,verb
gearastan,noun
sgian,noun
buidhe,adjective
bochd,noun
dèideag,noun
crìoch,noun
stèisean,noun
còmhradh,verb
gruamach,adjective
falaich,verb
bàrdachd,noun
deic,noun
amharasach,adjective
crios,noun
tiotadh,noun
gualann,noun
falmadair,noun
meug,noun
seacaid,noun
dalta,noun
dùisg,verb
gràineil,adjective
ola,noun
glas,noun
iochdmhor,adjective
prais,noun
modhail,adjective
seòmar,noun
lighiche,noun
prìseil,adjective
a-mhàin,adverb
nàraich,verb
sean,adjective
rocaid,noun
dìomhaireachd,noun
bòidheach,adjective
àmhghar,noun
rubair,noun
fuil,noun
ionnlaid,noun
glaiste,adjective
dubhan,noun
spòg,noun
nèibhi,noun
meud,noun
stuth,noun
fasan,noun
adhartas,noun
còmhlachadh,noun
adhar,noun
glagadaich,noun
pasgan,noun
candaidh,noun
cnoc,noun
bròg,noun
borb,adjective
sàirdseant,noun
tiomnadh,noun
dùthchail,adjective
clobha,noun
èiginn,noun
glas,adjective
bracaist,noun
bus,noun
adag,noun
peile,noun
roghnaich,verb
sgàineadh,noun
armachd,noun
fois,noun
cùram,noun
siar,adjective
stròc,noun
umhail,adjective
sgafal,noun
gealladh,noun
aingidh,adjective
iarann,noun
beòshlainte,noun
gu,adjective
uèir,noun
fann,adjective
glùn,noun
uabhann,noun
feans,noun
ginealach,noun
spìon,verb
gàgail,noun
lag,noun
sàmhchair,noun
imrich,noun
puta,noun
tilg,verb
coiseachd,verb
cuimhneachan,noun
ciùin,adjective
mion,preposition
geòla,noun
poidsearachd,noun
aiste,noun
leasaich,verb
ùghdar,noun
inbhir,noun
prothaid,noun
puinnsean,noun
geodha,noun
staoin,noun
cearbach,adjective
gaisgeachd,noun
cumadail,adjective
luach,noun
èigheachd,noun
oighre,noun
campa,noun
teanta,noun
treòraich,verb
cluich,noun
dìochuimhnich,verb
dòcha,adjective
sealbh,noun
òigridh,noun
coreigin,noun
diofar,noun
cleachdadh,noun
cèin,adjective
cnàimh,noun
cùlaist,noun
crann,noun
uaigh,noun
eallach,noun
gràpa,noun
dòigheil,adjective
cuideachadh,noun
mionach,noun
crangaid,noun
cumhachd,noun
criutha,noun
rum,noun
boireannach,noun
onarach,adjective
muin,noun
ceartaich,verb
spaideil,adjective
sochair,noun
muc,noun
Sasannach,noun
muime,noun
gàirnealair,noun
dàil,noun
lomnochd,adjective
fallain,adjective
iarraidh,verb
deas,noun
pian,noun
uabhas,noun
imcheist,noun
nas,adjective
dust,noun
coileach,noun
binn,adjective
cuilean,noun
gluais,verb
glais,verb
dreasair,noun
luch,noun
loch,noun
suim,noun
posta,noun
mas,preposition
lag,adjective
feur,noun
margaid,noun
bàgh,noun
riaraich,verb
min,noun
seagh,noun
creach,noun
catalog,noun
buin,verb
taisbeanadh,noun
cofaidh,noun
maiseach,adjective
domhainn,adjective
speuclair,noun
maol,adjective
snàmh,noun
agus,verb
staing,noun
àbhaisteach,adjective
tàmh,noun
gon,verb
tràth,adjective
òrdag,noun
eisimeileach,adjective
dìth,adjective
fàinne,noun
peinnsean,noun
cabhagach,adjective
dlùth,adjective
ceàird,noun
teich,verb
a-raoir,adverb
sìth,noun
amaideas,noun
bòidse,noun
grànda,adjective
blàr,noun
actair,noun
bruidhinn,noun
muileann,noun
gnogadh,noun
cosnadh,noun
boil,noun
cofhurtachd,noun
drathars,noun
bobhla,noun
muirsgean,noun
cunnt,verb
dìt,verb
peanta,noun
bàthach,noun
peilear,noun
roilig,verb
dìmeas,noun
salann,noun
ùrlar,noun
bonaid,noun
àiteach,noun
sluagh,noun
glìob,noun
taingeil,adjective
innis,noun
corra,noun
greiseag,noun
dàimh,noun
taidhcùn,noun
diathad,noun
dìcheall,noun
eireachdail,adjective
the,noun
lèine,noun
fuar,adjective
a,adjective
glan,adjective
aithghearr,noun
urra,noun
geamair,noun
iomallach,adjective
muncaidh,noun
cleoc,noun
bùrn,noun
trobhad,verb
dannsa,verb
probhadh,noun
lann,noun
lèigh,noun
aoibhneas,noun
tiugh,adjective
nàire,noun
donn,adjective
sìon,noun
cnap,noun
glic,adjective
subhach,adjective
sunndach,adjective
uiread,noun
seanfhacal,noun
misgear,noun
caillte,adjective
masladh,noun
poileasaidh,noun
piseach,noun
cruach,noun
buain,noun
aibidil,noun
gnìomh,noun
bara,noun
rùdhadh,noun
rudeigin,noun
gearradh,noun
eisimpleir,noun
brùidealachd,noun
Sìonach,noun
a-nuas,adverb
tràill,noun
dràibhear,noun
saighdear,noun
fuath,noun
seach,noun
tàillear,noun
an-asgaidh,adverb
tùrsach,adjective
sgainneal,noun
foillsich,verb
gòrach,adjective
sèid,verb
cuagach,adjective
ogha,noun
liugach,adjective
earra,noun
flat,noun
oillteil,adjective
màl,noun
goirt,adjective
leigheas,noun
gleann,noun
ceàrraiche,noun
mion,adjective
glacadh,noun
meas,verb
paca,noun
seanmhair,noun
dùr,adjective
baoth,adjective
iad,preposition
ambaileans,noun
galla,noun
bloigh,noun
briste,adjective
ana,preposition
iongantas,noun
ciatach,adjective
cudrom,noun
toitean,noun
dòchasach,adjective
eu,preposition
salach,adjective
nimh,noun
stamag,noun
tòir,noun
feòil,noun
glaim,noun
eucoireach,adjective
dìon,verb
caol,noun
fianais,noun
ceasnaich,verb
liosta,noun
muinchill,noun
casaid,noun
dealaichte,adjective
earball,noun
sgrìobhte,adjective
an-àirde,adverb
coileanta,adjective
seada,noun
