Beurla,noun
Budach,noun
Budachd,noun
Crìosd,noun
Crìosdaidheachd,noun
Crìosdail,adjective
Cànan Mharcaidh Haidhpirteacsa,noun
Eòrpach,noun
Fraingis,noun
Gearmailtis,noun
Gàidheal,noun
Gàidhlig,noun
Hindeach,noun
Iùdhachd,noun
Lochlannach,noun
Spainntis,noun
a dh’aindeoin,other
a dh’aithghearr,other
a-muigh,other
a-màireach,other
a-rithist,other
a-rèir,other
abair,verb
abairt,noun
abairt-faire,noun
abhainn,noun
ablach,noun
acadaimigeach,adjective
acfhainn,noun
achadh,noun
achadh-buana,noun
acriolach,adjective
acriolaig,noun
actanach,noun
acustaig,noun
adacs,noun
adaptair,noun
adhair-bheàrn,noun
adhar,noun
adharail,adjective
adhartach,adjective
adhartas,noun
adhbhar,noun
adhbharachadh,noun
adhbrann,noun
adhlacadh,noun
adhrachail,adjective
adhradh,noun
adiabataig,noun
aibidil,noun
aibidileach,adjective
aicinn,noun
aideachadh,noun
aidmheinteach,noun
aig tàmh,other
ailbheòlar,noun
ailealomorf,noun
aileirdsidh,noun
aillse,noun
ailseabra,noun
ailtire,noun
ailtireach,adjective
ailtireachail,adjective
ailtireachd,noun
ain-dligheach,adjective
aingidh,adjective
ainm,noun
ainm taisbeanaichte,noun
ainm-faidhle,noun
ainm-loga,noun
ainm-pinn,noun
ainm-sgrìobhte,noun
ainmear,noun
ainmeil,adjective
ainmh-eòlas,noun
ainmhidh,noun
ainmneach,adjective
ainneart,noun
air ais,other
air ais (ann) an tiota,other
air leth,other
air-loidhne,other
aire,noun
airgead,noun
airgead-beò,noun
airidh air,adjective
ais-phàigheadh,noun
aiseag,noun
aisigeach,adjective
aisling,noun
aiste,noun
aistear,noun
aitheamh,noun
aithisg,noun
aithne,noun
aithne-eòlas,noun
aithneachadh,noun
aithreachail,adjective
aithreachas,noun
aithris,noun
alcaileach,adjective
alcalaidh,noun
alcol,noun
allt,noun
aloidh,noun
alt,noun
am measg,other
am-meidheadair,noun
amadan,noun
amaideach,adjective
amaideas,noun
amalaichte,adjective
amar,noun
amas,noun
amharas,noun
amniotaig,other
an aghaidh,other
an sàs ann,other
an urra ri,other
an-aidheonach,adjective
an-asgaidh,other
an-còmhnaidh,other
an-dràsta,other
an-dè,other
an-fhoiseal,adjective
an-gnìomh,other
an-iochdmhor,adjective
an-èarobaig,adjective
anabharr,adjective
anail,noun
anailis,noun
anailiseach,adjective
anainn,noun
analachadh,noun
analog,adjective
anam,noun
annasach,adjective
antamonaidh,noun
anti-biotaig,noun
anti-ogsaideant,noun
anti-seaptaig,noun
antropaig,adjective
aodach,noun
aodach-fighte,noun
aoghaireil,adjective
aoibhneach,adjective
aoigh,noun
aoigheachd,noun
aoir,noun
aoireadh,noun
aon-ghuthach,adjective
aonad,noun
aonadh,noun
aonaichte,adjective
aonranach,adjective
aonranas,noun
aosta,adjective
aotram,adjective
ar-a-mach,noun
argamaid,noun
aritmeataig,noun
arm,noun
armachd,noun
armailt,noun
arsnaig,noun
artaigil,noun
as leth,other
asna,noun
astar,noun
ath-aithris,verb
ath-bhreith,noun
ath-chluiche,noun
ath-cholainneadh,noun
ath-chuartachadh,noun
ath-dhealbh,noun
ath-dhèan,verb
ath-dhèanamh,noun
ath-innse,noun
ath-leasaichte,adjective
ath-nuadhachadh,noun
ath-nuadhachail,adjective
ath-obair,noun
